 	New York	Alaska	Georgia	Maryland	Louisiana	Montana	North Dakota	Idaho	Massachusetts	Nevada	West Virginia	Wyoming	South Carolina	Ohio	Colorado	Iowa	Pennsylvania	Connecticut	Hawaii	Texas	Indiana	Mississippi	Missouri	Michigan	Nebraska	Arkansas	Kentucky	Wisconsin	New Hampshire	Alabama	Vermont	Tennessee	Oklahoma	Washington	Arizona	Maine	Rhode Island	North Carolina	Virginia	California	Minnesota	Oregon	Utah	New Mexico	South Dakota	Illinois	Florida	Kansas	New Jersey	Delaware
New York		4596.65	1498.22	346.17	2017.01	2201.13	1789.15	2908.73	168.59	3678.81	807.11	1942.99	895.04	701.64	1956.35	1194.58	356.81	103.03	2914.92	2091.53	830.50	1664.21	1352.59	731.82	1475.32	1538.70	942.02	1070.31	188.50	1511.21	2275.44	1042.87	2132.96	3446.06	2923.22	281.12	187.94	700.96	494.85	3686.30	1340.58	3380.08	2476.15	2821.10	1469.55	1046.24	1249.42	1409.55	212.31	277.86
Alaska	4706.62		4546.65	4608.00	4863.30	2791.38	3205.71	2781.08	4963.93	3176.05	4485.40	3242.87	4782.48	4196.00	3341.74	3826.26	4554.78	4833.81	1245.51	4561.35	4014.09	4824.18	3857.49	4090.40	3642.56	4669.48	4177.13	3519.54	5002.63	5068.24	2607.08	650.93	4209.40	2329.29	3783.60	5064.11	4916.40	4923.19	4794.41	3086.83	3248.97	2487.54	3039.44	3734.49	3616.73	3775.63	5254.06	3806.67	4745.11	4765.78
Georgia	1453.81	5363.31		775.28	552.38	2408.26	1827.08	2715.37	1218.18	2682.35	693.19	1956.60	221.83	797.92	1853.42	1102.38	852.52	1088.05	1660.50	1095.07	668.55	393.12	1087.57	936.38	1210.30	796.29	562.38	1108.24	1256.88	161.64	2193.02	728.58	1136.51	3252.71	1926.76	1318.36	1170.65	478.68	627.78	2689.84	1378.51	3186.72	2377.70	1824.64	1382.15	777.94	271.62	1144.53	910.23	842.65
Maryland	344.92	4542.12	750.95		1585.65	2146.60	1734.62	2854.20	446.11	3247.44	375.92	1888.46	545.91	428.10	2418.51	1140.05	79.36	315.98	540.90	1660.16	654.78	1232.85	1298.06	677.29	1420.79	1107.34	624.03	1015.78	484.81	1079.85	3313.84	2670.08	1701.60	3391.53	2491.86	546.29	398.58	351.84	145.73	3254.94	1286.05	3325.55	2942.79	2389.73	1415.03	991.71	900.30	1355.02	138.16	70.58
Louisiana	1979.42	5025.53	555.13	1629.74		2070.48	2473.25	2377.59	2236.74	2344.57	1218.80	1618.81	776.37	1323.53	1515.64	1009.32	1607.42	2106.61	3703.43	757.29	1194.17	167.15	812.32	1461.99	1006.85	488.48	1087.99	1269.48	2275.44	410.27	52.71	1225.85	798.72	2914.92	1588.98	2336.92	2189.21	1656.60	1527.82	2352.06	1539.75	2848.93	2039.91	1486.85	1178.70	935.08	443.90	869.14	1725.97	1697.11
Montana	2311.07	2639.06	2151.11	2212.45	2075.32		417.73	708.18	2568.38	1068.55	2089.85	454.89	2386.93	1800.45	553.76	1038.28	2159.24	2438.26	688.91	1773.37	1618.55	2036.20	1069.51	1694.85	854.58	1881.49	1781.58	1123.99	2607.08	2280.26	3943.58	428.33	1421.42	1245.51	1454.35	2668.56	2520.86	2527.65	2398.87	1171.30	853.42	1179.52	641.09	946.51	828.75	1380.08	2466.08	1018.69	2349.56	2370.24
North Dakota	1897.01	3054.05	1737.05	1798.39	2476.66	415.57		1123.17	2154.32	1483.54	1675.79	856.23	1972.87	1386.39	955.10	672.01	1745.18	2024.20	3443.19	2174.70	1204.49	1903.04	760.80	1280.80	616.97	1550.88	1367.52	709.93	2193.02	1750.04	875.51	3081.07	959.32	1660.50	1855.68	2254.50	2106.80	2113.59	1984.81	1586.29	439.37	1594.52	1056.09	1347.85	403.46	966.03	1951.13	743.29	1935.51	1956.18
Idaho	3017.83	2779.80	2731.70	2919.21	2381.90	710.15	1124.49		3275.14	450.58	2796.61	1161.65	3093.69	2507.21	864.00	1745.04	2865.99	3145.02	1272.31	2079.95	2325.31	2342.78	1776.27	2401.61	1561.34	2188.08	2488.34	1830.75	3313.84	2586.84	2265.68	1759.08	1728.00	540.90	1083.06	3375.32	3227.62	3234.41	3105.63	553.33	1560.18	474.92	338.90	1253.10	1535.50	2086.84	2772.67	1408.20	3056.32	3077.00
Massachusetts	168.06	4854.02	1201.90	448.00	2274.38	2458.50	2046.52	3166.10		3936.18	841.77	2200.36	996.87	959.02	2213.72	1451.96	458.64	134.45	3476.40	2348.90	1087.87	1921.58	1609.96	989.19	1732.69	1796.07	1199.39	1327.68	52.71	1768.58	1034.63	781.25	2390.33	3703.43	3180.59	106.65	46.71	802.80	596.68	3943.67	1597.95	3637.45	2733.52	3078.47	1726.93	1303.61	1351.25	1666.92	314.14	379.69
Nevada	3647.57	3174.69	2700.25	3297.89	2350.45	1069.56	1483.90	449.85	3904.88		2886.95	1091.83	2921.49	2991.68	995.46	1661.62	3275.56	3774.76	2937.34	2048.50	2862.31	2311.33	1603.21	3130.13	1477.93	2156.62	2756.14	2190.16	3943.58	2555.39	540.90	868.60	1982.94	688.91	754.26	4005.06	3857.36	3324.75	3195.97	130.03	1919.59	531.03	546.37	1384.56	1894.91	1904.22	2741.21	1539.66	3394.11	3365.25
West Virginia	807.86	4263.50	692.25	412.06	1211.04	2021.71	1455.99	2905.86	836.81	2872.84		1614.65	419.21	184.88	2043.91	1039.05	389.45	706.68	1401.15	1285.56	355.60	858.24	1024.25	430.91	1146.97	732.73	249.43	737.15	875.51	705.24	3703.43	2290.84	1326.99	3443.19	2117.25	936.99	789.28	461.72	310.13	2880.33	1007.42	3377.21	2568.18	2015.13	1318.83	714.62	906.33	1081.21	508.00	479.42
Wyoming	1969.66	3091.58	1972.54	1871.05	1622.75	453.09	855.86	734.98	2226.98	1091.51	1614.31		2193.79	1459.04	101.19	629.33	1817.83	2096.85	2281.02	1320.79	1166.72	1583.63	660.56	1353.45	445.64	1428.92	1306.04	909.95	2265.68	1827.69	688.91	1096.68	968.84	1272.31	1001.77	2327.15	2179.45	2052.11	1923.33	1223.35	1291.55	1206.32	437.90	493.94	593.34	899.59	2013.51	609.74	2008.16	2028.83
